Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
MABA,CMMASM,1,2,C003353,3,Marc Kochzius|Lieven Bervoets|Karolien Van Puyvelde,,,,,
MABA,CMMASM,1,2,C003354,3,Jan Vanaverbeke|Ann Vanreusel,field measurements|observations|lab experiments|data collection (at sea ) and field knowledge,niet-periodegebonden,,,gedragsevaluatie op de werkvloer|verslag
MABA,CMMASM,1,2,C003355,3,Marc De Batist|Dirk Verschuren|Wim Vyverman,field measurements|observations|data collection (on lakes)|lab analyses,niet-periodegebonden,,,participatie|werkstuk|verslag
MABA,CMMASM,1,2,C003809,3,Karline Soetaert|Dries Bonte,,periodegebonden,mondeling examen,mondeling examen,
MABA,CMMASM,2,J,C003357,30,,,periodegebonden,werkstuk,werkstuk,
MABA,CMPLRSLR,1,1,C001705,4,Thomas Hermans,grondwater - grondwaterbeweging - grondwaterkwaliteit - transportprocessen - drinkwater - aquifer - kwetsbaarheid - pompen,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,werkstuk
MABA,CMPLRSLR,1,1,C002615,6,Kristine Walraevens,inschatting en beoordeling milieueffecten van toekomstige acties|aanbevelen van milderende maatregelen,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met open vragen|mondeling examen,participatie|werkstuk|verslag
MABA,CMPLRSLR,1,1,C003068,5,Jan Nyssen,kringloop van het water|hydrologie|hydrografie|rivierwerking|hydrogeomofologie,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,participatie|werkstuk
MABA,CMPLRSLR,1,1,I002657,5,Wim Cornelis,soil-water content|soil-water potential|soil-water retention|flow of water and chemicals in soils|soil structure,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|verslag
MABA,CMPLRSLR,1,1,I002756,5,Aisling Daly,statistics|analysis of variance|regression analysis|statistical inference,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|openboekexamen,schriftelijk examen|openboekexamen,vaardigheidstest
MABA,CMPLRSLR,1,1,I002774,5,Ann Verdoodt|Stefaan Dondeyne|Steven Sleutel,georeferenced information|natural resources|gis|thematic maps|spatial analysis|cartographic modeling|qgis,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,schriftelijk examen met open vragen|participatie|werkstuk|vaardigheidstest
MABA,CMPLRSLR,1,2,C002660,3,Herman Peiffer,grondmechanica|funderingstechniek|geotechniek,periodegebonden,mondeling examen,mondeling examen,
MABA,CMPLRSLR,1,2,C003320,4,Dirk Verschuren|Pascal Boeckx|Dries Bonte|Diego Miralles|Roberto Salomon Moreno|Kathy Luis Steppe|Hans Verbeeck,klimaatverandering|broeikaseffect|klimaatopwarming|co2 emissies|biosfeer impacts|koolstofcyclus|klimaatprognose|ipcc|adaptatie|mitigatie|duurzame ontwikkeling,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,mondeling examen|werkstuk
MABA,CMPLRSLR,1,2,C004257,5,Tim Van de Voorde|Rudi Goossens,,periodegebonden,schriftelijk examen,schriftelijk examen,
MABA,CMPLRSLR,1,2,C004258,4,Kristine Walraevens|Steven Sleutel,project proposal writing|oral presentation|searching literature|physical land resources,niet-periodegebonden,,,mondeling examen|werkstuk
MABA,CMPLRSLR,1,2,C004259,5,Kristine Walraevens|Thomas Hermans,geophysical prospection of natural resources and environmental pollution.,periodegebonden,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met open vragen|mondeling examen,werkstuk
MABA,CMPLRSLR,1,2,E076460,4,Johan Verrue,creativiteit|marktonderzoek|businessmodel|financiële planning,niet-periodegebonden,,,mondeling examen|werkstuk
MABA,CMPLRSLR,1,2,K000253,5,Bernard Mazijn,"duurzame ontwikkeling|agenda 21|v.n.-verdragen en -conferenties (incl. politieke krachtsverhoudingen)|agenda 2030|ecosysteemdiensten|energie en klimaat|landbouw en voeding|beleid (vn|eu ...)|indicatoren (incl. sdgs), transitie naar een circulaire economie (incl. innovatie)|mvo|integraal ketenbeheer (incl. lca)",periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen|werkstuk,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen|werkstuk,
MABA,CMPLRSSO,1,1,C001705,4,Thomas Hermans,grondwater - grondwaterbeweging - grondwaterkwaliteit - transportprocessen - drinkwater - aquifer - kwetsbaarheid - pompen,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,werkstuk
MABA,CMPLRSSO,1,1,C002615,6,Kristine Walraevens,inschatting en beoordeling milieueffecten van toekomstige acties|aanbevelen van milderende maatregelen,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met open vragen|mondeling examen,participatie|werkstuk|verslag
MABA,CMPLRSSO,1,1,C003068,5,Jan Nyssen,kringloop van het water|hydrologie|hydrografie|rivierwerking|hydrogeomofologie,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,participatie|werkstuk
MABA,CMPLRSSO,1,1,I002657,5,Wim Cornelis,soil-water content|soil-water potential|soil-water retention|flow of water and chemicals in soils|soil structure,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,participatie|verslag
MABA,CMPLRSSO,1,1,I002756,5,Aisling Daly,statistics|analysis of variance|regression analysis|statistical inference,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|openboekexamen,schriftelijk examen|openboekexamen,vaardigheidstest
MABA,CMPLRSSO,1,1,I002774,5,Ann Verdoodt|Stefaan Dondeyne|Steven Sleutel,georeferenced information|natural resources|gis|thematic maps|spatial analysis|cartographic modeling|qgis,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,schriftelijk examen met open vragen|participatie|werkstuk|vaardigheidstest
MABA,CMPLRSSO,1,2,C002660,3,Herman Peiffer,grondmechanica|funderingstechniek|geotechniek,periodegebonden,mondeling examen,mondeling examen,
MABA,CMPLRSSO,1,2,C003320,4,Dirk Verschuren|Pascal Boeckx|Dries Bonte|Diego Miralles|Roberto Salomon Moreno|Kathy Luis Steppe|Hans Verbeeck,klimaatverandering|broeikaseffect|klimaatopwarming|co2 emissies|biosfeer impacts|koolstofcyclus|klimaatprognose|ipcc|adaptatie|mitigatie|duurzame ontwikkeling,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,mondeling examen|werkstuk
MABA,CMPLRSSO,1,2,C004257,5,Tim Van de Voorde|Rudi Goossens,,periodegebonden,schriftelijk examen,schriftelijk examen,
MABA,CMPLRSSO,1,2,C004258,4,Kristine Walraevens|Steven Sleutel,project proposal writing|oral presentation|searching literature|physical land resources,niet-periodegebonden,,,mondeling examen|werkstuk
MABA,CMPLRSSO,1,2,C004259,5,Kristine Walraevens|Thomas Hermans,geophysical prospection of natural resources and environmental pollution.,periodegebonden,schriftelijk examen met open vragen|mondeling examen,schriftelijk examen met open vragen|mondeling examen,werkstuk
MABA,CMPLRSSO,1,2,E076460,4,Johan Verrue,creativiteit|marktonderzoek|businessmodel|financiële planning,niet-periodegebonden,,,mondeling examen|werkstuk
MABA,CMPLRSSO,1,2,K000253,5,Bernard Mazijn,"duurzame ontwikkeling|agenda 21|v.n.-verdragen en -conferenties (incl. politieke krachtsverhoudingen)|agenda 2030|ecosysteemdiensten|energie en klimaat|landbouw en voeding|beleid (vn|eu ...)|indicatoren (incl. sdgs), transitie naar een circulaire economie (incl. innovatie)|mvo|integraal ketenbeheer (incl. lca)",periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen|werkstuk,schriftelijk examen met open vragen|schriftelijk examen met meerkeuzevragen|openboekexamen|werkstuk,
MABA,CMRSEACO,1,2,C003906,12,,,,,,
MABA,CMRSEACO,2,1,C003907,6,,,,,,
MABA,CMRSEACO,2,1,C003934,6,,,,,,
MABA,CMRSEACO,2,2,C003935,30,,,,,,
MABA,CMRSEAEN,1,2,C003906,12,,,,,,
MABA,CMRSEAEN,2,1,C003907,6,,,,,,
MABA,CMRSEAEN,2,1,C003934,6,,,,,,
MABA,CMRSEAEN,2,2,C003935,30,,,,,,
MABA,CMRSEAFU,1,2,C003906,12,,,,,,
MABA,CMRSEAFU,2,1,C003907,6,,,,,,
MABA,CMRSEAFU,2,1,C003934,6,,,,,,
MABA,CMRSEAFU,2,2,C003935,30,,,,,,
MABA,CMRSEAMA,1,2,C003906,12,,,,,,
MABA,CMRSEAMA,2,1,C003907,6,,,,,,
